Response,Speaker,What is said
1,GORDON,"Harvey Dent was needed. He was everything Gotham has been crying out for. He was...a hero. Not the hero we deserved - the hero we needed. Nothing less than a knight, shining...  "
2,GORDON,But I knew Harvey Dent. I was...his friend. And it will be a very long time before someone inspires us the way he did. I believed in Harvey Dent.  
3,CIA MAN,"Dr. Pavel, I'm CIA. Dr. Pavel nods, nervous. CIA Man hands the Driver a briefcase.  "
4,DRIVER,"He wasn't alone. CIA Man, confused, spots the Hooded Men. He turns to Dr. Pavel.  "
5,CIA MAN,You don't get to bring friends.  DR. PAVEL They are not my friends.  
6,DRIVER,"Don't worry, no charge for them.  "
7,CIA MAN,Why would I want them?  
8,DRIVER,They were trying to grab your prize. They work for the mercenary. The masked man.  
9,CIA MAN, Bane? The Driver nods. CIA Man turns to his Special Forces Men.  
10,CIA MAN,Get 'em on board - I'll call it in.  
11,CIA MAN,"What are you doing in the middle of my operation?  Hooded Man 1 says nothing. CIA Man pulls out a handgun. The flight plan I just filed with the Agency lists me, my men, and Dr. Pavel here. But only one of you. CIA Man opens the cargo door. Special Forces hang Hooded Man 1 out into the howling wind - CIA Man shouts above the wind.  "
12,CIA MAN, 
14,CIA MAN, HE DIDN'T FLY SO GOOD! WHO WANTS TO  
15,CIA MAN, TELL ME ABOUT BANE! WHY DOES HE  WEAR THE MASK?!   The prisoner says nothing. CIA Man presses the gun to the man's hood - he cocks the gun...nothing.  
16,CIA MAN, LOT OF LOYALTY FOR A HIRED GUN!    
17,THIRD PRISONER,Or he's wondering why someone would shoot a man before throwing him out of an aeroplane.   CIA Man turns to the Third Prisoner. Shuts the cargo door.  
18,CIA MAN,"Wiseguy, huh? At least you can talk. Who are you?    "
19,THIRD PRISONER,"We are nothing. We are the dirt beneath your feet. And no one cared who I was until I put on the mask...   CIA Man, wary, approaches the Third Prisoner - pulls off his hood, revealing a dark mask with a breathing apparatus. The eyes behind it are cold. Still. This is Bane.        "
20,BANE,Who we are does not matter. What matters is our plan.  
21,CIA MAN,"If I pull this off, will you die?  "
22,BANE,It would be extremely painful.    
23,CIA MAN,You're a big guy -  
24,BANE,For you.  
25,CIA MAN,Was being caught part of your plan?  
26,BANE,Of course. Dr. Pavel refused our offer in favor of yours. We had to know what he told you about us.  DR. PAVEL Nothing! I said nothing!  
27,CIA MAN,Why not just ask him?  
28,BANE,He would not have told us.  
